Date,Comment,Post_ID,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sentiment
8/4/2025 13:18,Gov't should help out those who cannot make decisions. Some are old with practically no one with them,1.0,,,,,neu
8/4/2025 13:34,Oh.. my 1 acres of land vanishing .,1.0,,,,,neg
8/4/2025 13:36,Interested to know about tokenization in detail.,1.0,,,,,pos
8/4/2025 13:43,"Land owners have choice to choose land replacement from other 19 Dzongkhags but proposed land relocation in 3 sites: .Samtse,S/Jongkhar and Tsirang... it's contradictory",1.0,,,,,neg
8/4/2025 13:52,ThanSome people who have many plots will become billioner.,1.0,,,,,neu
8/4/2025 14:01,My prayers and best wishes always,1.0,,,,,pos
8/4/2025 14:05,Govt rules should not be technically valid for SAR cases.,1.0,,,,,neg
8/4/2025 14:07,Lucky people of   ,1.0,,,,,pos
8/4/2025 14:30,Cas..if such policy had implement during Sipsu town plan ...I was Malek of building.....at this time,1.0,,,,,neu
8/4/2025 14:40,Any citizen who want to donate their land on charity for the development of nation . Volunteer 🙋‍♂️,1.0,,,,,neu
8/4/2025 14:46,Locate them All at Gasa,1.0,,,,,neu
8/4/2025 15:12,"It's nt jst abt possessing land there, they gt attachment towards society and many more related factors. I wish all 3 options are presented very clearly for them so they can opt very best one",1.0,,,,,pos
8/4/2025 15:12,Thanks lopen,1.0,,,,,pos
8/4/2025 15:13,Tay gachi say tay. No other news?,1.0,,,,,neu
8/4/2025 15:18,Are the landowners Lucky or Unlucky?,1.0,,,,,neu
8/4/2025 15:28,Especially large scale land acquisition projects globally have often failed to deliver on promises of fair compensation. Will this be any different😱,1.0,,,,,neg
8/4/2025 15:35,Come to Trashiyangtse,1.0,,,,,neu
8/4/2025 15:48,"Old ages and very young ones may face difficulties in acustoming new land allocation. However, praying for those affected ones may get better location than what they have been having today.",1.0,,,,,neu
8/4/2025 15:49,Get land replacement in Mumbai,1.0,,,,,neu
8/4/2025 15:52,Tata bye bye Charo tshu🥲🥲🥲,1.0,,,,,neu
8/4/2025 16:01,Gungtay jayang zomsa thong yang zomla... Zamchang Drelwaa Rangzhen en..😩sa....😁😁🤣,1.0,,,,,neu
8/4/2025 16:17,The same news that came out last time ...nothing new or breaking ...,1.0,,,,,neg
8/4/2025 16:32,Get compensation and buy ready made building from Thimphu lo,1.0,,,,,neu
8/4/2025 16:37,"How nice it would be, if the concern authorities give/publicize the list of enlisted thram numbers la.",1.0,,,,,pos
8/4/2025 17:09,After some years.... many will repent in one way or the other. Difficult to choose the right decision.,1.0,,,,,neu
8/4/2025 17:59,Hope chuzergang is on the list,1.0,,,,,pos
9/4/2025 1:18,I feel the affected land owners should be either compensated handsomely or relocate them to the place of their choice because it was they who guarded our boarders and took care of our land where we're proudly seeing the seed of GMC grow.,1.0,,,,,neu
9/4/2025 1:42,Thimphu has no land …… why not go for fertilize land at zhemgang …. I know the suitable govt land around Zhemgang….more than 300 heads can be resettled there …,1.0,,,,,neu
9/4/2025 1:53,Samteling people.. Habibi come Paro,1.0,,,,,neu
9/4/2025 2:41,"Hope people will be compensated nicely with any three options they have chosen, since it's going to be international best city, let us see what GMC authorities fixes it approaches with affected people",1.0,,,,,pos
9/4/2025 3:18,Is that Goats 🐐 in the pic??? 🧐🧐🧐,1.0,,,,,neu
9/4/2025 5:43,The propsoed compensation are too low,1.0,,,,,neg
9/4/2025 6:28,"It’s better to know that if they announce the specific ￼location for land replacement, and actual date for movement cus we have to get enough time to adjust in the new location where else rebuild the place ….",1.0,,,,,neu
8/4/2025 16:15,We love it,2.0,,,,,pos
8/4/2025 16:52,"Ya yhea, when the reality comes it will be decades ago",2.0,,,,,neu
8/4/2025 17:06,If promises turned reality then the bridge name should be given JUMP Bridge 🤣🤣,2.0,,,,,neu
8/4/2025 17:30,Yes I really want to walk on the bridge and get selfie🥲,2.0,,,,,pos
8/4/2025 21:03,Prem khola,2.0,,,,,neu
9/4/2025 0:06,Lets see if nature can be tamed this time.,2.0,,,,,neu
8/4/2025 12:26,Are the authorities scares of making their names & identifications publice so that people would become careful of such people or are suspects connected to high ranking officials???,4.0,,,,,neg
8/4/2025 12:33,Why there is gender biased?,4.0,,,,,neg
8/4/2025 12:46,What the nonsense 🤣😂 people..,4.0,,,,,neg
8/4/2025 12:59,Post counterfeit notes for benefit of all people,4.0,,,,,neu
8/4/2025 12:59,The relevant authorities may sue in accordance with the law whoever the culprits may be for deceiving the innocent people!,4.0,,,,,neg
8/4/2025 13:05,Day by day increasing the students of Chamgang college,4.0,,,,,pos
8/4/2025 13:21,NICE,4.0,,,,,pos
8/4/2025 13:42,"Great job taxi driver, you taught him the lesson that defaulter left on you",4.0,,,,,pos
8/4/2025 13:44,Printing of counterfeit notes requires high technology and investment. Unless the support of big criminal or terror groups it is not possible. If law enforcing agencies can nap those printing the notes.,4.0,,,,,neg
8/4/2025 14:01,Disclose their name with photos...so that victims are aware of those scammer I'm future ziii,4.0,,,,,neg
8/4/2025 14:07,Side effects of watching Indian movies,4.0,,,,,neg
8/4/2025 14:36,OMG! 😳 can’t imagine how can people do such thing without realizing they’ll eventually get caught…,4.0,,,,,neg
8/4/2025 14:36,Trying to become RICH Overnight but Luck didn't seem to Favor them. Kudos to the RBP.,4.0,,,,,neu
8/4/2025 15:21,Zomoroko,4.0,,,,,neu
8/4/2025 15:52,"That's Y to avoid such Crime, RMA and Bank should Distribute National Income to its Citizens.People has no Choice since many Common people are Just Hand to Mouth.",4.0,,,,,neu
8/4/2025 19:40,"Oyeee ..chodrup lekshom yoee mee zorazosop ena. Kap che lay gukor da awo, shob gee news Ra embey sa.",4.0,,,,,neu
8/4/2025 19:44,"""keep the change""",4.0,,,,,neu
9/4/2025 0:54,Ohh it is...replace their kidney and teeth with rubber...,4.0,,,,,neg
9/4/2025 1:50,My gosh ..,4.0,,,,,neg
9/4/2025 2:56,All these practices indicates dat people r having difficult time to survive.,4.0,,,,,neg
9/4/2025 2:58,Where did they got this note,4.0,,,,,neu
9/4/2025 6:52,"@All, @followers ᴛᴏ ᴀᴠᴏɪᴅ ɢᴇᴛᴛɪɴɢ sᴄᴀᴍᴍᴇᴅ ᴡɪᴛʜ ғᴀᴋᴇ ᴅᴏʟʟᴀʀs💵💸, ᴘʟᴇᴀsᴇ ᴄʜᴇᴄᴋ ᴏᴜᴛ ᴍʏ ᴘᴀɢᴇ. I’ᴠᴇ sʜᴀʀᴇᴅ ᴛɪᴘs ᴏɴ ʜᴏᴡ ᴛᴏ sᴘᴏᴛ ",4.0,,,,,neu
9/4/2025 8:15,X N In o b no b no Xa bb Mབན,4.0,,,,,neu
9/4/2025 2:09,Highly commendable job.,3.0,,,,,pos
9/4/2025 7:57,That's inspiring,3.0,,,,,pos
8/4/2025 12:55,Great inetative ...,5.0,,,,,pos
8/4/2025 17:10,News of the day 😁,5.0,,,,,neu
9/4/2025 6:17,Good job and great initiative dada Laxuman Bista 🙏🙏🙏,5.0,,,,,pos
7/4/2025 15:48,Pray for rainnn,8.0,,,,,neu
7/4/2025 15:51,It seems like there is inter Dzongkha competition going on these days 🤦‍♂️,8.0,,,,,neu
7/4/2025 15:54,Pray for rain laa 🌧️🌧️,8.0,,,,,neu
7/4/2025 15:55,Oh God! These days every dzongkhags seems to be competing setting wild fire. What's happening?,8.0,,,,,neg
7/4/2025 15:56,Always 🔥,8.0,,,,,neu
7/4/2025 15:56,So sad to hear such things happening,8.0,,,,,neg
7/4/2025 16:00,Let's pray for rain 🙏🙏🙏,8.0,,,,,neu
7/4/2025 16:02,Oy forest fire ginnewdi zomey ra mindhu sa,8.0,,,,,neu
7/4/2025 16:06,🙏🙏🙏😢😢,8.0,,,,,neu
7/4/2025 16:10,🙏🙏🙏🙏,8.0,,,,,neu
7/4/2025 16:10,God safe my home town 🙏,8.0,,,,,pos
7/4/2025 16:15,"Y always broking out forest fire,uncious human being",8.0,,,,,neg
